"Species"	"Sex"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"
"1"	"Adelomyia_melanogenys"	"Females"	-1.56412169234059	-2.4172332671165	0.893515899359787	-1.34543979869119	-0.0918329614609534	0.130641583549796	0.108840651322878	-0.138291515046903	-0.0555001554026463	0.0309001253879051	-0.00747588642910208	-0.0282646460510089	0.0189730796154125
"2"	"Adelomyia_melanogenys"	"Males"	-0.699211126774914	-2.11972618932042	0.177519778406461	-1.73839585465455	-0.245741581558155	0.2158803099791	0.154407201218889	-0.100383495492936	-0.0192851117713404	0.0218272270280646	0.00868245276346723	0.00202317730638552	0.0327055225115657
"3"	"Aglaeactis_cupripennis"	"Females"	3.32103097798078	-1.96749033370625	-1.40218111464366	-0.21341713142017	-0.129466737777828	-0.910380252102654	0.491507984478545	-0.0369557124078399	-0.119208860408532	-0.0530356072622059	0.0262858759335535	0.0340482663079474	-0.00364231942086691
"4"	"Aglaeactis_cupripennis"	"Males"	3.9943168933766	-1.39481638664124	-2.87190518761434	-0.495929935447982	0.0606687694093216	-1.2949480736625	0.561625716445637	-0.0443570066822689	-0.129938269995342	-0.021232193471192	0.042890531949996	-0.0119131082355671	-0.00349872322829726
"5"	"Aglaiocercus_coelestis"	"Females"	-0.503363896565768	-1.39548290930936	-0.0109222915813457	-0.390140400995336	-0.216240416396105	0.120740060342854	-0.20132216640773	0.0197156439623298	0.00665729884003537	-0.0563005564842495	-0.0211104091683667	-0.0183113588026164	-0.000406010710846404
"6"	"Aglaiocercus_coelestis"	"Males"	1.39970138399746	-0.627564335944061	-1.73971168058283	-0.761398201541277	-0.277843442265521	0.188434995488621	0.0482476146221303	0.0390152592596988	0.0921776070545912	0.0161428197894984	0.0342892101719591	-0.00194102489349949	0.00282040982202092
"7"	"Aglaiocercus_kingii"	"Females"	-1.04778948770148	-0.750438700981571	-0.343897347675964	-0.0191129719609941	-0.171261832036695	-0.00371248644771825	-0.00833726994957375	-0.0750980781910743	0.0299352312049322	-0.0280438333135065	-0.0191946225697806	-0.0011412065174129	0.0102292101968137
"8"	"Aglaiocercus_kingii"	"Males"	0.223017491392035	-0.30960821617944	-1.97506548233278	0.0944359072904316	0.24602385314597	-0.261642506066148	-0.0906965977066603	-0.0121020301388719	0.173039352927307	0.0405366333635626	0.021974565732549	-0.0118872300373991	-0.00608763311424432
"9"	"Amazilia_amabilis"	"Females"	-2.03005363412143	-0.250274640358895	0.22138408670138	0.364464436091981	0.616951376495493	0.293965648837896	0.0360691616648233	-0.0480637441816477	-0.042468326337282	-0.00899231106502313	-0.0210107089123142	-0.00647059799877128	0.00302372972762748
"10"	"Amazilia_amabilis"	"Males"	-1.44305514383026	0.328915764867516	-0.772482578660126	-0.142095190591472	0.429691977078115	0.321678401246048	-0.00378413680475451	-0.0093232941718891	-0.0203137290221357	-0.0242748710362716	-0.0073474975760569	-0.00171928230956048	-0.0026744845559712
"11"	"Amazilia_castaneiventris"	"Females"	-1.44444452760686	0.576373186296404	-0.125849471069247	-0.502536041133422	-0.328508510902465	0.12554791560997	-0.292414649161579	0.069764250931015	0.058203124161796	0.0184510415604933	-0.0011618012463387	-0.0170967019188387	-0.00303766987930321
"12"	"Amazilia_castaneiventris"	"Males"	-1.03067487199888	0.725020978572627	-0.762434489073217	0.0778941762785113	-0.233890632701059	0.243795506991675	-0.453097517543106	0.11365427757745	-0.0625159959680128	-0.17236116762312	0.00980446803266734	-0.0187165409754557	-0.004908018638361
"13"	"Amazilia_cyanifrons"	"Females"	-1.63612712057233	0.726220081178737	-0.387606229982066	0.0685950056642978	-0.255699934603796	-0.112217755206007	0.12311851404423	-0.0888967218840257	0.0602780987159559	0.00202855109591543	-0.0288134678121798	0.00573144161643893	-0.0043583315247881
"14"	"Amazilia_cyanifrons"	"Males"	-1.4274784163031	0.952064708184032	-0.87149665629644	-0.0726168521921701	-0.496362102766064	-0.15299685105719	0.250036479800122	-0.135873899778305	0.0834929189801586	-0.00125691646538113	0.00943271352888013	0.00863342546798614	-0.0135098698810117
"15"	"Amazilia_fimbriata"	"Females"	-0.954386803862274	0.186136213819681	0.562071663129578	-0.0278704535651081	-0.307854463334925	0.253988684351876	0.0612732218962314	-0.0336266861101476	-0.00276179338468135	-0.0550510793824304	-0.00379091198182911	-0.0184828301870012	-0.00500144159665891
"16"	"Amazilia_fimbriata"	"Males"	-0.410807667421877	0.587740357743318	-0.333553480697379	-0.6222313855555	-0.462126320321967	0.199297928194374	-0.0233480396731122	-0.0199245766771086	-0.00845793623652066	-0.0688228625884689	-0.00435340844629767	-0.0136462556617706	-0.000651986132470795
"17"	"Amazilia_franciae"	"Females"	-0.975448313469442	1.00726868072039	0.554540264863369	-0.0835960155552028	-0.275093649081054	0.174749575294655	0.200747263271838	-0.0465799463600182	0.0692331640188283	0.0097229184111938	0.00231720750678555	-0.00474120518500139	-0.00418459908776306
"18"	"Amazilia_franciae"	"Males"	-0.506315234036119	1.4012257630578	-0.142131698295258	-0.36603263152888	-0.642555581901805	0.226420702528132	0.229569016743384	-0.0575158904017063	0.0951368925458223	0.0197271649127472	0.00954775052301304	-0.0016166859754263	-0.0145777154665823
"19"	"Amazilia_saucerottei"	"Females"	-2.3445782827504	0.235057914783065	0.214554492596839	1.09059010813333	-0.0750573420259326	-0.31885079170136	0.0143368513349244	-0.102801599497556	0.0314035273411633	-0.0697181856840256	-0.0081027833207392	0.0161122201609032	0.0181261554042113
