"Species"	"Sex"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"
"1"	"Adelomyia_melanogenys"	"Females"	-1.61722919289826	-2.3775523321356	-0.920907106810226	1.42373635807785	0.157138761705064	-0.0102414824493963	-0.107762810031569	0.102750342250836	-0.133734220437771	-0.0529748402926193	-0.0312334382172029	-0.00808629210509361	0.0288431570649396	0.0186114359306833
"2"	"Adelomyia_melanogenys"	"Males"	-0.723364767743314	-2.0915866200875	-0.200852890052252	1.7858545994151	0.00298567691195772	-0.19770925778796	-0.201771026723164	0.150854043139213	-0.09803400892157	-0.0181936587195273	-0.0220769196198313	0.00821351065000436	-0.00166144221280705	0.0325951225853111
"3"	"Aglaeactis_cupripennis"	"Females"	3.32979217374272	-1.91781546300943	1.3739284636997	0.334950317702304	0.448325070055699	-0.0173949102758435	0.935561941697665	0.48351268626077	-0.0309791558839374	-0.114243034512827	0.0525852151354636	0.0256169762779253	-0.0337780600111183	-0.0036665764871812
"4"	"Aglaeactis_cupripennis"	"Males"	4.0162610311333	-1.35708615477607	2.84845341789032	0.589109982151169	0.270747634830987	0.139258789479142	1.31655023633608	0.553842992457814	-0.0386542837821486	-0.125720605457638	0.0209024365916394	0.0425061490419043	0.0120426957663017	-0.00364953465213463
"5"	"Aglaiocercus_coelestis"	"Females"	-0.504346339348808	-1.38874035880337	-0.00141004333235732	0.423530944158498	0.106603821296855	-0.184152115632443	-0.115937325608477	-0.202394556487832	0.0207887116768148	0.00848599578986784	0.0561199617831364	-0.0212512197657287	0.0185763899311697	-0.00060378279392444
"6"	"Aglaiocercus_coelestis"	"Males"	2.2346479471241	-1.12958550665652	1.86298280796572	-0.305327967978836	-4.38939105917947	-1.43816595866977	-0.470810928901119	0.12316967374363	-0.0133713619883826	0.0269557602028585	-0.00704090326721981	0.0479408764944276	-0.0071901174749754	0.00732985044264165
"7"	"Aglaiocercus_kingii"	"Females"	-1.03208871330878	-0.769603664905156	0.342214155901557	0.00938662575619211	-0.0249004906289169	-0.184225373618077	-0.00186892670001042	-0.00698863091688745	-0.0765087337689638	0.0275377855349341	0.0282628300662617	-0.0188642015184669	0.00105651327718421	0.0102969584239824
"8"	"Aglaiocercus_kingii"	"Males"	1.01701311643502	-0.809048166985287	2.09938667518166	-1.13520567019267	-4.24672221682186	-0.887494927302537	-0.00996152767157582	-0.0193001090639624	-0.0632050059742036	0.110182313822913	-0.0320506399560391	0.0347198935835451	0.00337860803643246	-0.00193478877087319
"9"	"Amazilia_amabilis"	"Females"	-2.1447445306324	-0.204583447773042	-0.235482535422691	-0.250126690589679	0.436832778865781	0.745192083588383	-0.257148044294936	0.0270911459745095	-0.04142356327412	-0.035512267645948	0.00811097231011815	-0.0224023348490437	0.00752318984015943	0.0024910114590466
"10"	"Amazilia_amabilis"	"Males"	-1.54734946466938	0.366989874496513	0.762764762908751	0.234890088443468	0.31204786572529	0.535089340838228	-0.2905198301561	-0.0113252914877392	-0.00380115185762735	-0.0136981747773809	0.0233971144497784	-0.00862877606768209	0.0026081211218932	-0.00312553652956622
"11"	"Amazilia_castaneiventris"	"Females"	-1.5569790312519	0.622050801092223	0.116949670773939	0.602286160505234	0.392240663425725	-0.215953802640992	-0.0995951137347406	-0.299381915957427	0.07437577012015	0.0663470735109203	-0.0197148241951305	-0.00295507379176814	0.0182916157135583	-0.00370181319354503
"12"	"Amazilia_castaneiventris"	"Males"	-1.13974181553219	0.76870491757522	0.754292309100396	0.0407846589310903	0.525859208602335	-0.101763032997036	-0.215387434228606	-0.460532606588514	0.120855531159799	-0.0524846251110011	0.171309297805767	0.00871945309099656	0.01952221861683	-0.00540991912878685
"13"	"Amazilia_cyanifrons"	"Females"	-1.73422024739182	0.756565429520674	0.383385975779281	0.0183133509825264	0.398979002137597	-0.158395756213379	0.134365893045171	0.116747269324395	-0.085760372172789	0.0641259026939934	-0.00281795088315584	-0.0300625170654415	-0.00482234191961132	-0.00477662318770434
"14"	"Amazilia_cyanifrons"	"Males"	-1.52313143308486	0.979839130157537	0.868661093517264	0.160386114694237	0.414853323452593	-0.398558007203943	0.173307386005898	0.243952005571815	-0.133507710279263	0.0861640875407798	0.000442636798626174	0.00830039219824502	-0.00800812525109702	-0.0138157364368839
"15"	"Amazilia_fimbriata"	"Females"	-1.075444107347	0.250494102646246	-0.577006330699857	0.171611868550186	0.624853913212375	-0.147972854252399	-0.218648702198355	0.0521987405919427	-0.0274290043698154	0.00475144932116803	0.053981374028949	-0.00520786017871429	0.0195004129150903	-0.00559308050888067
"16"	"Amazilia_fimbriata"	"Males"	-0.524437617948849	0.647772853532757	0.32101483225065	0.748148084889807	0.498821127590687	-0.321938627726899	-0.168005191793386	-0.0316776349719356	-0.013957714894373	-0.00113272099703416	0.0678168824943066	-0.00566548949998355	0.0146041928235629	-0.00118589485042442
"17"	"Amazilia_franciae"	"Females"	-1.07467983162776	1.05054134954054	-0.558045056018039	0.167475241434229	0.377282779487678	-0.177101960602325	-0.152308570549338	0.194958190291427	-0.043968419641531	0.0733111758765314	-0.0105841083856818	0.00109952577366308	0.00551373981681774	-0.00459444111058464
"18"	"Amazilia_franciae"	"Males"	-0.587644410462941	1.43376928201438	0.142998979375093	0.431976031711803	0.316433187929972	-0.563933940311432	-0.211956414468729	0.225818792138661	-0.0567015877165919	0.0972454088601291	-0.0204132582185286	0.00861350753164165	0.0021198789550624	-0.0148650356417517
