"Species"	"Dimorphism_c"
"99"	"Heliodoxa_jacula"	"4.46483202141114"
"100"	"Heliodoxa_leadbeateri"	"1.22147618515152"
"101"	"Heliodoxa_rubinoides"	"2.14207226137671"
"102"	"Heliodoxa_schreibersii"	"2.0912922784595"
"103"	"Heliomaster_longirostris"	"0.233924321598449"
"104"	"Heliothryx_auritus"	"-5.77317603164092"
"105"	"Heliothryx_barroti"	"-6.41645889416964"
"106"	"Hylocharis_chrysura"	"1.08822756214308"
"107"	"Hylocharis_cyanus"	"1.5884197650985"
"108"	"Hylocharis_eliciae"	"0.525008169125659"
"109"	"Hylocharis_grayi"	"0.450885603703766"
"110"	"Hylocharis_leucotis"	"-0.94613816045903"
"111"	"Hylocharis_xantusii"	"1.11551736626899"
"112"	"Klais_guimeti"	"-0.457355232023271"
"113"	"Lafresnaya_lafresnayi"	"-0.475103151360607"
"114"	"Lampornis_amethystinus"	"2.65207430490999"
"115"	"Lampornis_clemenciae"	"0.411495234148727"
"116"	"Lampornis_hemileucus"	"0.156640778049734"
"117"	"Lampornis_viridipallens"	"0.528403866394955"
"118"	"Lamprolaima_rhami"	"-0.28495698788025"
"119"	"Lesbia_nuna"	"29.2825194797227"
"120"	"Lesbia_victoriae"	"36.2675023300161"
"121"	"Leucippus_baeri"	"-0.492717464465921"
"122"	"Leucippus_chlorocercus"	"-0.468198415280423"
"123"	"Leucippus_taczanowskii"	"-0.626309669083549"
"124"	"Lophornis_helenae"	"1.22589308058866"
"125"	"Metallura_aeneocauda"	"2.31838022204279"
"126"	"Metallura_eupogon"	"-0.498292659953307"
"127"	"Metallura_odomae"	"0.940396208138061"
"128"	"Metallura_phoebe"	"2.35617762468053"
"129"	"Metallura_theresiae"	"0.138022989931997"
"130"	"Metallura_tyrianthina"	"4.05494628842585"
"131"	"Metallura_williami"	"-0.63105354207185"
"132"	"Myrtis_fanny"	"2.58916732553413"
"133"	"Ocreatus_underwoodii"	"26.7132298862683"
"134"	"Oreonympha_nobilis"	"3.50247078321884"
"135"	"Oreotrochilus_estella"	"-0.00985822989919427"
"136"	"Patagona_gigas"	"-1.1210012123207"
"137"	"Phaeochroa_cuvierii"	"0.255131277481066"
"138"	"Phaethornis_bourcieri"	"-2.23530575146922"
"139"	"Phaethornis_guy"	"-3.1861763675796"
"140"	"Phaethornis_koepckeae"	"-2.15494424996151"
"141"	"Phaethornis_philippii"	"-0.978294420821598"
"142"	"Phaethornis_pretrei"	"-4.96379803409775"
"143"	"Phaethornis_ruber"	"0.0310059788858137"
"144"	"Phaethornis_subochraceus"	"-1.66578066574928"
"145"	"Phaethornis_superciliosus"	"-6.19897320186964"
"146"	"Phaethornis_syrmatophorus"	"1.8779602066708"
"147"	"Phaethornis_yaruqui"	"-2.43766704600399"
"148"	"Phlogophilus_harterti"	"0.952063103022933"
"149"	"Polyonymus_caroli"	"5.79009878962713"
"150"	"Polytmus_guainumbi"	"0.705280013505435"
"151"	"Polytmus_theresiae"	"-1.53479175245375"
"152"	"Pterophanes_cyanopterus"	"2.47564668937477"
"153"	"Ramphodon_naevius"	"1.17439755915518"
"154"	"Ramphomicron_microrhynchum"	"4.23815088029757"
"155"	"Rhodopis_vesper"	"7.39316705890604"
"156"	"Sappho_sparganurus"	"14.0449954525696"
"157"	"Schistes_geoffroyii"	"-0.0489508094846016"
"158"	"Selasphorus_calliope"	"0.896189732036971"
"159"	"Selasphorus_flammula"	"1.10005921122421"
"160"	"Selasphorus_platycercus"	"2.08628183383151"
"161"	"Selasphorus_rufus"	"-0.635371450294688"
"162"	"Selasphorus_sasin"	"1.97752465730008"
"163"	"Selasphorus_scintilla"	"1.99018180169738"
"164"	"Sephanoides_fernandensis"	"0.329154581213013"
"165"	"Sephanoides_sephanoides"	"-0.0703046717479374"
"166"	"Taphrospilus_hypostictus"	"-0.436281704707119"
"167"	"Thalurania_colombica"	"2.93476695983483"
"168"	"Thalurania_furcata"	"4.25685844859932"
"169"	"Thaumastura_cora"	"47.497796373535"
"170"	"Threnetes_ruckeri"	"-1.44785882636338"
"171"	"Topaza_pella"	"11.0360186600239"
"172"	"Trochilus_polytmus"	"48.0393384361719"
